"","cor","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1",0,"stan",1,2,1000,0.834057752726843,0.8,1.39336559236607,0,0,2.47,3,0.883108079387727,"diag","mvnd"
"2",0,"tmb",1,2,1000,0.807977282569292,0.8,1.22513897251543,0,1,2.887,3,5.81430426336922,"diag","mvnd"
"3",0,"admb",1,2,1000,0.81618941914641,0.8,1.21567,0,1,2.637,3,1.11841692950979,"diag","mvnd"
"4",0,"stan",2,2,1000,0.859232346640258,0.8,1.22318584427948,0,0,2.572,3,0.820664053976711,"diag","mvnd"
"5",0,"tmb",2,2,1000,0.810816889160276,0.8,1.2529113968908,0,1,2.736,3,1.55676451587224,"diag","mvnd"
"6",0,"admb",2,2,1000,0.815416056983867,0.8,1.20557,0,0,2.675,3,1.04159371096861,"diag","mvnd"
"7",0,"stan",3,2,1000,0.861611709835291,0.8,1.31516498487037,0,0,2.506,3,0.862965068069797,"diag","mvnd"
"8",0,"tmb",3,2,1000,0.811007325984829,0.8,1.22825111599349,0,1,2.753,3,1.51331955251824,"diag","mvnd"
"9",0,"admb",3,2,1000,0.817053939920193,0.8,1.23869,0,1,2.601,3,1.04275724468146,"diag","mvnd"
"10",1,"stan",1,2,1000,0.847857565893266,0.8,1.42051375683617,0,0,2.524,3,0.852144442069624,"diag","mvnd"
"11",1,"tmb",1,2,1000,0.814877419374595,0.8,1.19734441127577,0,1,2.765,3,1.36664145057408,"diag","mvnd"
"12",1,"admb",1,2,1000,0.817782509300293,0.8,1.21131,0,1,2.63,3,1.04481855980426,"diag","mvnd"
"13",1,"stan",2,2,1000,0.866574865883832,0.8,1.28942887013245,0,0,2.58,3,0.815024088149709,"diag","mvnd"
"14",1,"tmb",2,2,1000,0.811529381713426,0.8,1.20915802740813,0,1,2.72,3,1.25474586813299,"diag","mvnd"
"15",1,"admb",2,2,1000,0.815830101839821,0.8,1.22504,0,1,2.655,3,1.07310333863412,"diag","mvnd"
"16",1,"stan",3,2,1000,0.835468280083926,0.8,1.32986274254091,0,0,2.644,3,1.2597026835134,"diag","mvnd"
"17",1,"tmb",3,2,1000,0.814453620520588,0.8,1.20083390114344,0,1,2.708,3,1.27261375636382,"diag","mvnd"
"18",1,"admb",3,2,1000,0.817316630059802,0.8,1.22407,0,2,2.622,3,1.04578335778291,"diag","mvnd"
"19",0,"stan",1,4,1000,0.816225295315746,0.8,1.25111985612735,0,0,2.894,3,0.448291160926651,"diag","mvnd"
"20",0,"tmb",1,4,1000,0.807774267439835,0.8,1.06996359164724,0,0,3.345,3,2.05062857162612,"diag","mvnd"
"21",0,"admb",1,4,1000,0.81379801443,0.8,1.11708,0,0,3.039,3,1.01439316674965,"diag","mvnd"
"22",0,"stan",2,4,1000,0.792304441809302,0.8,1.25042449854763,0,0,2.9,3,0.43610800289629,"diag","mvnd"
"23",0,"tmb",2,4,1000,0.807571109022283,0.8,1.09337872029067,0,0,3.446,3,6.12436428692476,"diag","mvnd"
"24",0,"admb",2,4,1000,0.809373505384185,0.8,1.1284,0,1,3.057,3,1.02921360286393,"diag","mvnd"
"25",0,"stan",3,4,1000,0.837249115006339,0.8,1.15065891485,0,0,2.918,3,0.396778821805592,"diag","mvnd"
"26",0,"tmb",3,4,1000,0.811385968588331,0.8,1.0564275691866,0,1,3.49,3,6.0357364966944,"diag","mvnd"
"27",0,"admb",3,4,1000,0.801622873254821,0.8,1.14469,0,0,3.043,3,0.938398260680306,"diag","mvnd"
